sentence,spoiler,page,trope
"Because of  Never Say ""Die"" , a horrifying scene became arguably EVEN WORSE.",True,AaronStone,BigBad
The first episode deals with   one of the season 1 bad guys getting killed by an  Eldritch Abomination  with telekinesis!,True,AaronStone,DarkerAndEdgier
"Sure it's off-screen and its costume looks fake and silly, but still!",True,AaronStone,DarkerAndEdgier
"The end of ""Mutant Rain"" has him reveal his face to Aaron and the rest of his team.",False,AaronStone,FaceFramedInShadow
"The Laws of Robotics, established by  Isaac Asimov , are programmed into STAN, which is often an important plot point.",False,AaronStone,ShoutOut
The Season 2 premiere provides an inadvertent example.,False,AaronStone,VillainousRescue
"The show grew out of a sketch on French   Saunders, which featured an obnoxious, partying mother and her sober, responsible daughter.",False,AbsolutelyFabulous,JoannaLumley
Edina's treatment of Saffron constitutes full-on abuse at times and it's always  Played for Laughs .,False,AbsolutelyFabulous,BlackComedy
" (2001-2009) with  Bumbling Dad  ( ""Jim"" Belushi ) and long suffering  hot wife  (Courtney Thorne-Smith).",False,AccordingToJim,DomCom
Jim Belushi wrote the theme song and he regularly performs in a band on the show showing off his harmonica skills.,False,AccordingToJim,TheCastShowOff
"After getting turned down to take Cheryl to a baby shower in Jim's place, Andy quips""I guess it's just me and my palm tonight.",False,AccordingToJim,ADateWithRosiePalms
"For example in one episode Jim explains that men and women's brains are wired so they won't remember certain things, Cheryl gets mad at him, only to later find herself trapped in the garage because none of the girls can remember the key code for the door, which her toddler son punches in effortlessly.",False,AccordingToJim,DoubleStandard
Too bad for them a woman ends up the winner.,False,AccordingToJim,EatingContest
Andy has been a victim of this.,False,AccordingToJim,GroinAttack
"Cheryl, Andy, and Dana make Jim think his dead friend came back to life, because Jim stole back his playing card that said friend stole the day before he died.",False,AccordingToJim,PracticalJoke
It's like Christmas time for the boozers!,False,AceOfCakes,DocuSoap
" Kate + Eight  visited as a surprise for Kate; Guy Fieri came in for an episode of  Diners, Drive-ins and Dives  on Baltimore and Duff treated him to a giant cake shaped like a giant hamburger; Geof and Duff made an anniversary cake for  King of the Hill  and had cameos on the show; the crew traveled to Hawaii to  simultaneously  work on cakes for  Lost 's wrap party and a US military base (both groups loved it).",False,AceOfCakes,CrossOver
Is that where the puppet-versions of the bakers in the  Lost  episode came from?,False,AceOfCakes,CrossOver
"He also competed on  Chopped Tournament , where he   was chopped in the appetizer round .",True,AceOfCakes,CrossOver
"Which is totally cheating, Geof is deadpan everything.",False,AceOfCakes,DeadpanSnarker
Mostly the older cakes.,False,AceOfCakes,EverythingsBetterWithSparkles
"The chef treated Duff and Geoff to a  pig face sandwich  for breakfast, which Duff tore into while poor Geoff seemed like  he was only eating to be polite .",False,AceOfCakes,LondonTown
Even his mom calls him Duff on the show.,False,AceOfCakes,OneSteveLimit
"Came full circle when Duff and the Charm City Cakes staff themselves were judges of a  Food Network Challenges  episode, where the theme was, appropriately enough, ""Extreme Cakes.",False,AceOfCakes,SerialEscalation
"""You (the puppet bakers) aren't working out, I'm bumping you to the minor leagues""    Stuffed in a box  with a ""Jersey Or Bust"" sign (if they really went there, they'd be returned covered in flour and dipped in icing).",False,AceOfCakes,ShoutOut
"This meant that not only did it have to look a little busted-up but also match the ""painterly"" style of the show, which went against the shop's no-visible-brushstrokes ideal.",False,AceOfCakes,StarWarsCloneWars
They were able to do everything aside from getting R2's head to turn - it was beyond Duff's engineering skills but fortunately a handyman at Skywalker Ranch was able to rig up a little something and save the day.,False,AceOfCakes,StarWarsCloneWars
" /  Close Enough Timeline Parodied in the final  Back to the Future -themed episode where  screwing around with the bakery's flux capacitor caused the bakers to become office workers, bugs, and random haz-mat suit (really painter's suits) wearers.",True,AceOfCakes,TimeTravel
Really  screwing up the flux capacitor caused Geof and Duff to become workers at a cake box factory .,True,AceOfCakes,TimeTravel
": Mary Alice:  The customer asks for ten, Duff will give them eleven.",False,AceOfCakes,UpToEleven
" and a loose adaptation of  Alice's Adventures in Wonderland , which ran on the  Disney Channel  from 1991 to 1995.",False,AdventuresInWonderland,KidCom
Even after she returns in the middle of the charade.,False,AdventuresInWonderland,KarmaHoudini
"In ""Her-story in the Making"", Alice tries getting her Wonderland friends to write a story for her school assignment for her.",False,AdventuresInWonderland,TooManyCooks
This show provides examples of:   Fawlty Towers Plot,False,AfterLately,TheOffice
"Anyway, the result is essentially the same show as  M*A*S*H  except without the war.",False,AfterMASH,Mash.html
"T's signature mohawk, theorizing that  After MASH  would take a large portion of  The A-Team 's audience.",False,AfterMASH,ScrewedByTheNetwork
"The theory, of course, was proven wrong.",False,AfterMASH,ScrewedByTheNetwork
"In addition to its own  Afterschool Special , ABC aired a  Weekend Special  from 1977-1997, although these were far less heavy-handed and moreso adaptations of children's stories.",False,AfterschoolSpecial,VerySpecialEpisode
"  Donnie  by the end of the episode in which the adoption is revealed, it seems.",True,AgainstTheWall,HappilyAdopted
Brody and Richie are this earlier in the season before Brody and Abby's  Relationship Reveal .,False,AgainstTheWall,HeterosexualLifePartners
An investigation of a brawl at a wedding turns into a   rape investigation .,True,AgainstTheWall,MinorCrimeRevealsMajorPlot
"Played fairly realistically in that she does not really get into the action too much, but she never backs down and she still her detective-smarts.",False,AgainstTheWall,PregnantBadass
"Then later in another episode its a case of  Well Done Son Guy  as her older brother, Donnie, is portrayed as constantly seeking his father's approval and pride.",False,AgainstTheWall,WellDoneSonGuy
"   played straight in ""Todesfahrt der Linie 834""; subverted in ""Tulpen aus Amsterdam"", where the folks on the bus were part of the conspiracy",False,AlarmFuerCobra11,BusFullOfInnocents
"   In nearly every episode, at least one  Dienstwagen  (official vehicle) usually Semir's 3-series BMW or his partner's E-Class Mercedes is demolished.",False,AlarmFuerCobra11,LampshadeHanging
") The truck is lettered for a fictional company, "" Atalay  GMBH"".",False,AlarmFurCobra11,ActorAllusion
   often done with a car,False,AlarmFurCobra11,UnderTheTruck
"Semir investigates the murder of one of the teachers from his old high school; because his usual partner (Chris Ritter) is in the hospital, he's paired up with an older officer (Diether Bonrath) who does things the ""old school"" way.",False,AlarmFurCobra11,DoubleMeaningTitle
You'll often see a plot development coming up behind them.,False,AlarmFurCobra11,MeaningfulBackgroundEvent
"   the big  Chase Scene , with cars crashing and flying through the air and  Impressive Pyrotechnics  from all the  Stuff Blowing Up",False,AlarmFurCobra11,OnceAnEpisode
This series contains examples of:   Action Girl Rebecca.,False,Alcatraz,JJAbrams
"By the end of the first season, it would appear that   Warden James  is the one behind the disappearances and returns.",True,Alcatraz,BigBad
Except Hauser is the kind of asshole.,False,Alcatraz,BlackAndGreyMorality
"The end of the first season is this, ending with Rebecca on the operating table and flatlining.",True,Alcatraz,Cliffhanger
"Whoops, make that  the end of the series .",True,Alcatraz,Cliffhanger
"He lets Cobb stay in solitary indefinately, but   puts another inmate who can't shut up in the same cell as him .",True,Alcatraz,CoolAndUnusualPunishment
He started killing people as revenge.,False,Alcatraz,DeadlyPrank
"In the present day,   Tommy Madsen  seems to serve as this to   the Warden .",True,Alcatraz,TheDragon
Paxton Petty stole Silver Star medals from the graves of dead soldiers to use as shrapnel in his landmines.,False,Alcatraz,GraveRobbing
"Subverted when we find out he's actually Tommy Madsen's brother, which makes him Rebecca's great uncle by blood .",True,Alcatraz,HonoraryUncle
She seems more intrigued then anything else though.,False,Alcatraz,LukeIAmYourFather
"The US federal government, unwilling to disclose that the most successful prison break in  recorded history  occurred in 1963, released an official explanation for the closing of Alcatraz and created fake transfers to other prisons (signed by Robert Kennedy himself), then later issued fake death certificates saying they all died at the prisons they were transferred to.",False,Alcatraz,TheMasquerade
"Hauser and Lucy, they were involved, but when she disappeared as a '63, Hauser was forced to take  The Slow Path .",True,Alcatraz,MayDecemberRomance
"Episode 2 reveals that   Lucy was at Alcatraz in 1963, under the name Lucille Sengupta .",True,Alcatraz,TheReveal
"Beauregard is revealed to be working for Hauser and, like Lucy, to not have aged since the 60's.",True,Alcatraz,TheReveal
"Episode 4;  Those keys the prisoners were looking for were cut with anachronistic lasers, and they open a vault under the island that certain prisoners were sent to before they all vanished.",True,Alcatraz,TheReveal
"Episode 5:   Ray really is Rebecca's uncle, and he's been in contact with her grandfather.",True,Alcatraz,TheReveal
"It's entirely possible that Ernest Cobb would have happily spent the rest of his life at Alcatraz in solitary, a threat to no-one... except the warden found it necessary to screw with him until he completely lost his mind,  just so he could call in Lucille Sengupta, AKA  Lucy Banerjee  for some as-of-yet undisclosed purpose.",True,Alcatraz,ScrewTheRulesIMakeThem
":  Cobb first appears to be killing randomly, until Rebecca figures out that he kills random people in order to conceal his real targets:   15-16 year old girls, like the sister he was resentful of because their mom took care of her but abandoned him at an orphanage.",False,Alcatraz,ThemeSerialKiller
He also kills crows as a calling card.,True,Alcatraz,ThemeSerialKiller
"Kit Nelson is also this,   kidnapping and killing 11 year old boys, the same age as his brother when Kit killed him.",True,Alcatraz,ThemeSerialKiller
"He kidnaps them on a Friday, leaves behind a chrysanthemum in the bed, then returns the dead body Sunday evening.",True,Alcatraz,ThemeSerialKiller
Clarence Montgomery  was  turned  into this by Dr.,True,Alcatraz,ThemeSerialKiller
"Though he was wrongfully convicted of killing his white girlfriend, Dr.",True,Alcatraz,ThemeSerialKiller
Beauregard used a reversed version of Dr.,True,Alcatraz,ThemeSerialKiller
Sengupta's treatments to  make  him kill people in the same manner as which she died.,True,Alcatraz,ThemeSerialKiller
"Hauser, noted by Lucy who worries how much he's changed since she knew him in '63     Lucy Try not to  shoot  anyone!",True,Alcatraz,TookALevelInJerkass
 television series presented by famed thriller director  Alfred Hitchcock .,False,AlfredHitchcockPresents,GenreAnthology
"In the episode ""Bull in a China Shop"", Hitchcock apologizes for the fact that the story features neither a bull nor a china shop.",False,AlfredHitchcockPresents,ExactlyWhatItSaysOnTheTin
Unfortunatly by the third break she is gone.,False,AlfredHitchcockPresents,OurMermaidsAreDifferent
Unusual for its willingness to embrace a fanciful  Story Arc  about a centuries-old prophecy.,False,Alias,ClicheStorm
And apparently the global intelligence community has nothing better to do than go to war over every piece of technology he might have even glanced at.,False,Alias,ClicheStorm
So Elena is supposed to be Russian?,False,Alias,AmbiguouslyBrown
"Luckily, his body fell into a vat of special Rambaldi liquid that healed his wounds and brought him back to life .",True,Alias,BackFromTheDead
He was stuck under a collapsed pillar when Jack blew himself up .,True,Alias,BackFromTheDead
"Also, the two-part episode in season 2, ""Passage"", where   Irina goes undercover with Jack and Sydney to India as a family of tourists to recover six stolen nuclear warheads , is a badass family vacation if there ever was one.",True,Alias,BadAssFamily
