AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,PutOuts,Assists,Errors,LeagueN,DivisionW,Salary
315,81,7,24,38,39,14,3449,835,69,321,414,375,632,43,10,1,1,475.0
479,130,18,66,72,76,3,1624,457,63,224,266,263,880,82,14,0,1,480.0
496,141,20,65,78,37,11,5628,1575,225,828,838,354,200,11,3,1,0,500.0
321,87,10,39,42,30,2,396,101,12,48,46,33,805,40,4,1,0,91.5
594,169,4,74,51,35,11,4408,1133,19,501,336,194,282,421,25,0,1,750.0
185,37,1,23,8,21,2,214,42,1,30,9,24,76,127,7,1,0,70.0
298,73,0,24,24,7,3,509,108,0,41,37,12,121,283,9,0,1,100.0
323,81,6,26,32,8,2,341,86,6,32,34,8,143,290,19,1,1,75.0
401,92,17,49,66,65,13,5206,1332,253,784,890,866,0,0,0,0,0,1100.0
574,159,21,107,75,59,10,4631,1300,90,702,504,488,238,445,22,0,0,517.143
202,53,4,31,26,27,9,1876,467,15,192,186,161,304,45,11,1,1,512.5
418,113,13,48,61,47,4,1512,392,41,205,204,203,211,11,7,1,0,550.0
239,60,0,30,11,22,6,1941,510,4,309,103,207,121,151,6,0,0,700.0
196,43,7,29,27,30,13,3231,825,36,376,290,238,80,45,8,1,0,240.0
568,158,20,89,75,73,15,8068,2273,177,1045,993,732,105,290,10,1,1,775.0
190,46,2,24,8,15,5,479,102,5,65,23,39,102,177,16,0,1,175.0
127,32,8,16,22,14,8,727,180,24,67,82,56,202,22,2,1,1,135.0
413,92,16,72,48,65,1,413,92,16,72,48,65,280,9,5,1,0,100.0
426,109,3,55,43,62,1,426,109,3,55,43,62,361,22,2,0,1,115.0
472,116,16,60,62,74,6,1924,489,67,242,251,240,518,55,3,1,1,600.0
629,168,18,73,102,40,18,8424,2464,164,1008,1072,402,1067,157,14,0,0,776.6669999999999
587,163,4,92,51,70,6,2695,747,17,442,198,317,434,9,3,0,0,765.0
324,73,4,32,18,22,7,1931,491,13,291,108,180,222,3,3,1,0,708.3330000000001
474,129,10,50,56,40,10,2331,604,61,246,327,166,732,83,13,1,1,750.0
550,152,6,92,37,81,5,2308,633,32,349,182,308,262,329,16,1,1,625.0
513,137,20,90,95,90,14,5201,1382,166,763,734,784,267,5,3,0,1,900.0
419,108,6,55,36,22,3,591,149,8,80,46,31,226,7,4,1,1,110.0
583,168,17,83,80,56,5,1646,452,44,219,208,136,109,292,25,0,0,612.5
204,49,6,23,25,12,7,1309,308,27,126,132,66,419,46,5,0,1,300.0
379,106,10,38,60,30,14,6207,1906,146,859,803,571,72,170,24,1,1,850.0
268,60,5,24,25,15,2,350,78,5,34,29,18,442,59,6,1,1,90.0
181,41,1,15,21,33,2,232,50,4,20,29,45,326,29,5,0,0,67.5
217,46,7,32,19,9,4,694,160,32,86,76,32,307,25,1,0,0,180.0
254,68,2,28,26,22,6,999,236,21,108,117,118,359,30,4,0,0,305.0
416,132,7,57,49,33,3,932,273,24,113,121,80,73,177,18,1,1,215.0
205,57,8,34,32,9,5,756,192,32,117,107,51,58,4,4,0,0,247.5
526,146,13,71,70,84,6,2648,715,77,352,342,289,303,9,9,1,1,815.0
457,101,14,42,63,22,17,6521,1767,281,1003,977,619,389,39,4,0,1,875.0
214,53,2,30,29,23,2,226,59,2,32,32,27,109,7,3,1,0,70.0
591,168,19,80,72,39,9,4478,1307,113,634,563,319,67,147,4,0,1,1200.0
403,101,12,45,53,39,12,5150,1429,166,747,666,526,316,6,5,0,0,675.0
405,102,18,49,85,20,6,950,231,29,99,138,64,161,10,3,1,1,415.0
244,58,9,28,25,35,4,1335,333,49,164,179,194,142,14,2,1,1,340.0
313,78,6,32,41,12,12,3742,968,35,409,321,170,106,206,7,1,1,416.667
627,177,25,98,81,70,6,3210,927,133,529,472,313,240,482,13,0,0,1350.0
416,113,24,58,69,16,1,416,113,24,58,69,16,203,70,10,0,0,90.0
155,44,6,21,23,15,16,6631,1634,98,698,661,777,53,88,3,1,0,275.0
236,56,0,27,15,11,4,1115,270,1,116,64,57,125,199,13,0,1,230.0
216,53,1,31,15,22,4,926,210,9,118,69,114,73,152,11,1,1,225.0
